due,/dju:/,"a.(to)应支付的;(车,船等)预定应到达的"
alleviate,/ə'li:vieit/,v.减轻，缓和，缓解(痛苦等)
weave,/wi:v/,v.编(织) n.编织法，编织式样
drawing,/'drɔ:iŋ/,"n.绘图,图样"
snow,/snəu/,n.雪，下雪 vi.下雪；如雪一般地落下
realistic,/ˌriə'listik/,a.现实(主义)的
nevertheless,/ˌnevəðə'les/,"conj.(nonetheless)然而,不过ad.仍然,不过"
ride,/raid/,"v./n.骑,乘"
expression,/ɪk'spreʃn/,n.表达;表情;声调;腔调;榨出;措词;式;符号
spur,/spə:/,"n.靴刺,马刺;刺激,刺激物 v.刺激,激励"
clutch,/klʌtʃ/,"v.抓住,攫住,掌握 n.离合器"
pest,/pest/,n.害虫
standard,/'stændəd/,"n.标准,规则 a.标准的"
compass,/'kʌmpəs/,"n.罗盘,指南针;(pl.)圆规"
gloomy,/'glu:mi/,"a.阴暗的,阴沉的,令人沮丧的,阴郁的"
fortunate,/'fɔ:tʃənit/,"a.幸运的,侥幸的"
spectacular,/spek'tækjulə/,"a.壮观的,引人注目的 n.壮观的演出"
nutrition,/nju:'triʃən/,"n.营养,营养学"
anonymous,/ə'nɔniməs/,a.匿名的，无名的，姓氏不明的
pat,/pæt/,"v./n.轻拍,轻打,抚摸"
speech,/spi:tʃ/,"n.演说,讲话;言语,语言"
tile,/tail/,"n.瓦片,瓷砖 vt.铺瓦于，贴砖于"
dorm,/dɔ:m/,n.(dormitory)［美］［口］宿舍
dictionary,/'dikʃənəri/,"n.词典,字典"
screen,/skri:n/,"n.屏幕,屏风;帘 v.掩蔽,包庇;筛选"
lover,/'lʌvə(r)/,n.爱好者;(pl.)情侣
shirt,/ʃə:t/,n.衬衫
emphasize,/'emfəsaiz/,v.(emphasise)强调
pollution,/pə:'lju:ʃən/,n.污染
shepherd,/'ʃepəd/,"n.牧民,牧羊人"
foster,/'fɔstə/,vt.养育;收养;怀抱;鼓励 a.收养的 n.养育者
favorite,/'feivərit/,n.(favourite)最喜欢的人或物 a.喜爱的
technology,/tek'nɔlədʒi/,n.科学技术；工业技术；应用科学
wipe,/waip/,"v./n.擦,揩,抹"
scold,/skəuld/,"v.责骂,训斥"
dessert,/di'zə:t/,n.正餐后的水果或甜食
outlet,/'autlet/,"n.出路,出口;销路,市场;发泄方法;电源插座"
list,/lɪst/,"n.表,目录,名单 v.把…编列成表,列入表内"
